;CrimeId;OriginalCrimeTypeName;OffenseDate;CallDateTime;Disposition;Address;City;State;AgencyId;AddressType
14;160913249;HOMELESS COMPLAINT;2016-03-31;2016-03-31 19:37:00;ADV;0 Block Of Elgin Pk;San Francisco;CA;1;PREMISE ADDRESS
15;160913265;HOMELESS COMPLAINT;2016-03-31;2016-03-31 19:40:00;HAN;Vine Tr/Pine St;San Francisco;CA;1;INTERSECTION
16;160913266;ENCAMPMENT;2016-03-31;2016-03-31 19:41:00;HAN;1600 Block Of 15Th St;San Francisco;CA;1;PREMISE ADDRESS
17;160913285;ARREST MADE;2016-03-31;2016-03-31 19:49:00;ARR;Jones St/Golden Gate Av;San Francisco;CA;1;INTERSECTION
18;160913298;TENT;2016-03-31;2016-03-31 19:54:00;ADV;100 Block Of South Van Ness Av;San Francisco;CA;1;PREMISE ADDRESS
19;160913309;INTOXICATED PERSON;2016-03-31;2016-03-31 19:57:00;HAN;300 Block Of Ofarrell St;San Francisco;CA;1;PREMISE ADDRESS
20;160913310;GUITAR;2016-03-31;2016-03-31 19:55:00;GOA;500 Block Of Valencia St;San Francisco;CA;1;PREMISE ADDRESS
21;160913367;HR VEH ACCIDENT;2016-03-31;2016-03-31 20:15:00;REP;Larkin St/Hayes St;San Francisco;CA;1;INTERSECTION
22;160913375;BURGLARY;2016-03-31;2016-03-31 20:18:00;HAN;600 Block Of Faxon Av;San Francisco;CA;1;PREMISE ADDRESS
23;160913415;REPORT;2016-03-31;2016-03-31 20:35:00;UTL;300 Block Of Potrero Av;San Francisco;CA;1;PREMISE ADDRESS
24;160913428;MUSIC;2016-03-31;2016-03-31 20:44:00;UTL;500 Block Of Grove St;San Francisco;CA;1;PREMISE ADDRESS
25;160913451;PERSON DUMPING;2016-03-31;2016-03-31 20:51:00;GOA;Natoma St/10Th St;San Francisco;CA;1;INTERSECTION
26;160913455;VANDALISM;2016-03-31;2016-03-31 20:53:00;ND;1600 Block Of Sunnydale Av;San Francisco;CA;1;PREMISE ADDRESS
27;160913472;PETTY THEFT;2016-03-31;2016-03-31 20:57:00;GOA;Sutter St/Montgomery St;San Francisco;CA;1;INTERSECTION
28;160913501;415;2016-03-31;2016-03-31 21:07:00;ADV;600 Block Of California St;San Francisco;CA;1;COMMON LOCATION
29;160913509;415;2016-03-31;2016-03-31 21:10:00;GOA;500 Blk Raymond Av;San Francisco;CA;1;GEO-OVERRIDE
30;160913548;NOISE NUISANCE;2016-03-31;2016-03-31 21:19:00;UTL;700 Block Of Ellis St;San Francisco;CA;1;PREMISE ADDRESS
31;160913555;HOMELESS COMPLAINT;2016-03-31;2016-03-31 21:20:00;GOA;100 Block Of 6Th St;San Francisco;CA;1;PREMISE ADDRESS
32;160913576;FRAUD;2016-03-31;2016-03-31 21:26:00;REP;900 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
33;160913597;PETTY THEFT;2016-03-31;2016-03-31 21:35:00;HAN;700 Block Of Eddy St;San Francisco;CA;1;PREMISE ADDRESS
34;160913615;SUSPICIOUS PERSON;2016-03-31;2016-03-31 21:44:00;HAN;1600 Block Of Polk St;San Francisco;CA;1;PREMISE ADDRESS
35;160913618;REP;2016-03-31;2016-03-31 21:41:00;REP;800 Block Of Van Ness Av;San Francisco;CA;1;PREMISE ADDRESS
36;160913619;MEET W/CITIZEN;2016-03-31;2016-03-31 21:46:00;ND;Vallejo St/Columbus Av;San Francisco;CA;1;INTERSECTION
37;160913632;PRISONER TRANSPORT;2016-03-31;2016-03-31 21:50:00;HAN;800 Block Of Vallejo St;San Francisco;CA;1;COMMON LOCATION
38;160913643;HR VEH ACCIDENT;2016-03-31;2016-03-31 21:53:00;ND;Lisbon St/Brazil Av;San Francisco;CA;1;INTERSECTION
39;160913664;HOMELESS COMPLAINT;2016-03-31;2016-03-31 22:00:00;GOA;200 Block Of Golden Gate Av;San Francisco;CA;1;PREMISE ADDRESS
40;160913711;POSS;2016-03-31;2016-03-31 22:11:00;ARR;900 Block Of Geary St;San Francisco;CA;1;PREMISE ADDRESS
41;160913745;TRESPASSER;2016-03-31;2016-03-31 22:23:00;ADV;900 Block Of Ofarrell St;San Francisco;CA;1;PREMISE ADDRESS
42;160913750;HR VEH ACCIDENT;2016-03-31;2016-03-31 22:22:00;HAN;Duboce Av/Guerrero St;San Francisco;CA;1;INTERSECTION
43;160913758;STOLEN VEHICLE;2016-03-31;2016-03-31 22:26:00;UTL;200 Block Of Naples St;San Francisco;CA;1;PREMISE ADDRESS
44;160913768;SUSPICIOUS PERSON;2016-03-31;2016-03-31 22:33:00;GOA;400 Block Of Ellis St;San Francisco;CA;1;PREMISE ADDRESS
45;160913774;HOMELESS COMPLAINT;2016-03-31;2016-03-31 22:29:00;ADV;Lloyd St/Scott St;San Francisco;CA;1;INTERSECTION
46;160913783;FIGHT NO WEAPON;2016-03-31;2016-03-31 22:38:00;HAN;500 Block Of South Van Ness Av;San Francisco;CA;1;PREMISE ADDRESS
47;160913802;CHECK FOR PED;2016-03-31;2016-03-31 22:46:00;HAN;1200 Block Of Silver Av;San Francisco;CA;1;PREMISE ADDRESS
48;160913813;415;2016-03-31;2016-03-31 22:48:00;GOA;600 Block Of Dolores St;San Francisco;CA;1;COMMON LOCATION
49;160913814;ENCAMPMENT;2016-03-31;2016-03-31 22:48:00;ADV;6Th St/Natoma St;San Francisco;CA;1;INTERSECTION
50;160913837;JUVENILE DISTURBANCE;2016-03-31;2016-03-31 22:55:00;GOA;100 Block Of Elk St;San Francisco;CA;1;COMMON LOCATION
51;160913872;PARTY;2016-03-31;2016-03-31 23:08:00;NOT RECORDED;500 Block Of Grove St;San Francisco;CA;1;PREMISE ADDRESS
52;160913879;LLTD;2016-03-31;2016-03-31 23:03:00;HAN;4100 Block Of Anza St;San Francisco;CA;1;PREMISE ADDRESS
53;160913890;ROBBERY;2016-03-31;2016-03-31 23:15:00;REP;Dolores St/29Th St;San Francisco;CA;1;INTERSECTION
54;160913898;601;2016-03-31;2016-03-31 23:18:00;GOA;500 Block Of Stevenson St;San Francisco;CA;1;PREMISE ADDRESS
55;160913901;BURGLARY;2016-03-31;2016-03-31 23:18:00;HAN;200 Block Of Harold Av;San Francisco;CA;1;PREMISE ADDRESS
56;160913910;REP;2016-03-31;2016-03-31 23:21:00;HAN;1600 Block Of Sacramento St;San Francisco;CA;1;PREMISE ADDRESS
57;160913920;HOMELESS COMPLAINT;2016-03-31;2016-03-31 23:24:00;ADV;Marin St/3Rd St;San Francisco;CA;1;INTERSECTION
58;160913928;500E;2016-03-31;2016-03-31 23:25:00;GOA;2900 Block Of Buchanan St;San Francisco;CA;1;PREMISE ADDRESS
59;160913930;INTOXICATED PERSON;2016-03-31;2016-03-31 23:29:00;ARR;Larkin St/Bush St;San Francisco;CA;1;INTERSECTION
60;160913931;VANDALISM;2016-03-31;2016-03-31 23:28:00;UTL;1200 Block Of Ellis St;San Francisco;CA;1;PREMISE ADDRESS
61;160913938;500E;2016-03-31;2016-03-31 23:31:00;CIT;300 Block Of Upper Tr;San Francisco;CA;1;PREMISE ADDRESS
62;160913948;POSS;2016-03-31;2016-03-31 23:30:00;CIT;1800 Block Of Folsom St;San Francisco;CA;1;COMMON LOCATION
63;160913955;913;2016-03-31;2016-03-31 23:37:00;ND;100 Block Of De Montfort Av;San Francisco;CA;1;PREMISE ADDRESS
64;160913956;TRAFFIC STOP;2016-03-31;2016-03-31 23:39:00;CIT;6Th St/Bryant St;San Francisco;CA;1;INTERSECTION
65;160913961;SUSPICIOUS PERSON;2016-03-31;2016-03-31 23:40:00;CIT;Mission St/7Th St;San Francisco;CA;1;INTERSECTION
66;160913966;ARREST MADE;2016-03-31;2016-03-31 23:41:00;REP;100 Block Of 3Rd St;San Francisco;CA;1;PREMISE ADDRESS
67;160913967;909;2016-03-31;2016-03-31 23:39:00;HAN;600 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
68;160913968;PERSON W/GUN;2016-03-31;2016-03-31 23:35:00;ND;4Th St/King St;San Francisco;CA;1;INTERSECTION
69;160913969;SUSPICIOUS VEHICLE;2016-03-31;2016-03-31 23:40:00;GOA;400 Block Of Faxon Av;San Francisco;CA;1;PREMISE ADDRESS
70;160913972;TRAFFIC STOP;2016-03-31;2016-03-31 23:45:00;CIT;900 Block Of Larkin St;San Francisco;CA;1;PREMISE ADDRESS
71;160913976;TRAFFIC STOP;2016-03-31;2016-03-31 23:46:00;CIT;Bayshore Bl/Cortland Av;San Francisco;CA;1;INTERSECTION
72;160913984;ARREST MADE;2016-03-31;2016-03-31 23:49:00;HAN;400 Block Of Ellis St;San Francisco;CA;1;PREMISE ADDRESS
73;160913985;FIGHT NO WEAPON DV;2016-03-31;2016-03-31 23:48:00;ADV;Valencia St/19Th St;San Francisco;CA;1;INTERSECTION
74;160913988;AUDIBLE ALARM;2016-03-31;2016-03-31 23:48:00;PAS;300 Block Of 3Rd St;San Francisco;CA;1;PREMISE ADDRESS
75;160913990;SUSPICIOUS PERSON;2016-03-31;2016-03-31 23:43:00;ND;400 Block Of Golden Gate Av;San Francisco;CA;1;PREMISE ADDRESS
76;160913991;PARKING;2016-03-31;2016-03-31 23:48:00;HAN;0 Block Of Blake St;San Francisco;CA;1;PREMISE ADDRESS
77;160913996;AUDIBLE ALARM;2016-03-31;2016-03-31 23:51:00;PAS;100 Block Of Grant Av;San Francisco;CA;1;PREMISE ADDRESS
78;160913997;PAY;2016-03-31;2016-03-31 23:51:00;ABA;1600 Block Of Green St;San Francisco;CA;1;PREMISE ADDRESS
79;160913999;MUSIC;2016-03-31;2016-03-31 23:52:00;GOA;500 Block Of 14Th St;San Francisco;CA;1;PREMISE ADDRESS
80;160914000;SUSPICIOUS PERSON;2016-03-31;2016-03-31 23:53:00;CIT;0 Block Of United Nations Pz;San Francisco;CA;1;COMMON LOCATION
81;160914002;SUSPICIOUS PERSON;2016-03-31;2016-03-31 23:54:00;HAN;300 Block Of Golden Gate Av;San Francisco;CA;1;PREMISE ADDRESS
82;160914008;SILENT HOLDUP ALARM;2016-03-31;2016-03-31 23:54:00;PAS;100 Block Of Maiden Ln;San Francisco;CA;1;PREMISE ADDRESS
83;160914009;TRESPASSER;2016-03-31;2016-03-31 23:55:00;NOM;300 Block Of Blythdale Av;San Francisco;CA;1;PREMISE ADDRESS
84;160914010;TRAFFIC STOP;2016-03-31;2016-03-31 23:58:00;CIT;Bayshore Bl/Flower St;San Francisco;CA;1;INTERSECTION
85;160914012;PASSING CALL;2016-03-31;2016-03-31 23:58:00;HAN;900 Block Of La Playa;San Francisco;CA;1;PREMISE ADDRESS
86;160920001;TRAFFIC STOP;2016-04-01;2016-04-01 00:00:00;ADM;16Th/Deharo;Not Recorded;CA;1;GEO-OVERRIDE
87;160920003;SLEEPER;2016-03-31;2016-03-31 23:59:00;ADV;200 Block Of 3Rd St;San Francisco;CA;1;COMMON LOCATION
88;160920004;PASSING CALL;2016-04-01;2016-04-01 00:00:00;HAN;Duboce Triangle;Not Recorded;CA;1;GEO-OVERRIDE
89;160920005;PASSING CALL;2016-04-01;2016-04-01 00:01:00;HAN;100 Block Of Christmas Tree Point Rd;San Francisco;CA;1;COMMON LOCATION
90;160920006;FAMILY;2016-03-31;2016-03-31 23:59:00;HAN;1500 Block Of Thomas Av;San Francisco;CA;1;PREMISE ADDRESS
91;160920007;ARREST MADE;2016-04-01;2016-04-01 00:02:00;HAN;100 Block Of 3Rd St;San Francisco;CA;1;PREMISE ADDRESS
92;160920008;INTOXICATED PERSON;2016-04-01;2016-04-01 00:00:00;ADV;500 Block Of Jones St;San Francisco;CA;1;PREMISE ADDRESS
93;160920009;PASSING CALL;2016-04-01;2016-04-01 00:03:00;HAN;400 Block Of Duboce Av;San Francisco;CA;1;PREMISE ADDRESS
94;160920010;THUMPING;2016-04-01;2016-04-01 00:02:00;HAN;1000 Block Of Oak St;San Francisco;CA;1;PREMISE ADDRESS
95;160920014;NOISE NUISANCE;2016-04-01;2016-04-01 00:03:00;GOA;100 Block Of Patton St;San Francisco;CA;1;PREMISE ADDRESS
96;160920015;ASSAULT / BATTERY;2016-04-01;2016-04-01 00:03:00;NOM;100 Block Of Bartlett St;San Francisco;CA;1;PREMISE ADDRESS
97;160920016;HOMELESS COMPLAINT;2016-04-01;2016-04-01 00:04:00;ADV;0 Block Of Scott St;San Francisco;CA;1;PREMISE ADDRESS
98;160920017;TRAFFIC STOP;2016-04-01;2016-04-01 00:05:00;ARR;Battery St/Clay St;San Francisco;CA;1;INTERSECTION
99;160920018;601;2016-04-01;2016-04-01 00:04:00;ADV;1200 Block Of 48Th Av;San Francisco;CA;1;PREMISE ADDRESS
100;160920020;PASSING CALL;2016-04-01;2016-04-01 00:05:00;HAN;9Th Ave/Irving St;Not Recorded;CA;1;GEO-OVERRIDE
101;160920021;AUDIBLE ALARM;2016-04-01;2016-04-01 00:05:00;PAS;1100 Block Of Howard St;San Francisco;CA;1;PREMISE ADDRESS
102;160920022;LOUD MUSIC;2016-04-01;2016-04-01 00:04:00;ADV;400 Block Of Haight St;San Francisco;CA;1;PREMISE ADDRESS
103;160920023;909;2016-04-01;2016-04-01 00:04:00;CAN;1200 Block Of 4Th St;San Francisco;CA;1;PREMISE ADDRESS
104;160920024;HOMELESS COMPLAINT;2016-04-01;2016-04-01 00:09:00;HAN;600 Block Of Folsom St;San Francisco;CA;1;PREMISE ADDRESS
105;160920025;NOISE NUISANCE;2016-04-01;2016-04-01 00:08:00;ADV;1500 Block Of Haight St;San Francisco;CA;1;PREMISE ADDRESS
106;160920026;SUSPICIOUS PERSON;2016-04-01;2016-04-01 00:10:00;HAN;100 Block Of Hyde St;San Francisco;CA;1;PREMISE ADDRESS
107;160920027;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:10:00;ABA;Broadway/Kearny St;San Francisco;CA;1;INTERSECTION
108;160920028;TRESPASSER;2016-04-01;2016-04-01 00:09:00;GOA;0 Block Of Lapidge St;San Francisco;CA;1;PREMISE ADDRESS
109;160920029;PASSING CALL;2016-04-01;2016-04-01 00:11:00;NOT RECORDED;Geary Bl/3Rd Av;San Francisco;CA;1;INTERSECTION
110;160920030;916;2016-04-01;2016-04-01 00:10:00;GOA;1200 Block Of Hampshire St;San Francisco;CA;1;PREMISE ADDRESS
111;160920031;ATT;2016-04-01;2016-04-01 00:10:00;GOA;1000 Block Of Baker St;San Francisco;CA;1;PREMISE ADDRESS
112;160920032;PASSING CALL;2016-04-01;2016-04-01 00:13:00;HAN;3Rd Ave  Geary Blvd;Not Recorded;CA;1;GEO-OVERRIDE
113;160920033;TRAFFIC STOP;2016-04-01;2016-04-01 00:14:00;ADV;South Van Ness Av/18Th St;San Francisco;CA;1;INTERSECTION
114;160920034;AUDIBLE ALARM;2016-04-01;2016-04-01 00:13:00;PAS;100 Block Of Maiden Ln;San Francisco;CA;1;PREMISE ADDRESS
115;160920039;BURGLARY;2016-04-01;2016-04-01 00:10:00;NOT RECORDED;400 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
116;160920042;594;2016-04-01;2016-04-01 00:16:00;GOA;Cabrillo St/27Th Av;San Francisco;CA;1;INTERSECTION
117;160920043;PASSING CALL;2016-04-01;2016-04-01 00:18:00;NOT RECORDED;Geary/3Rd Ave;Not Recorded;CA;1;GEO-OVERRIDE
118;160920046;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:19:00;HAN;3Rd Av/Geary Bl;San Francisco;CA;1;INTERSECTION
119;160920049;PASSING CALL;2016-04-01;2016-04-01 00:20:00;HAN;3Rd Av/Geary Bl;San Francisco;CA;1;INTERSECTION
120;160920051;NOISE NUISANCE;2016-04-01;2016-04-01 00:21:00;HAN;California St/Taylor St;San Francisco;CA;1;INTERSECTION
121;160920053;TRAFFIC STOP;2016-04-01;2016-04-01 00:23:00;ADV;Van Ness Av/Pine St;San Francisco;CA;1;INTERSECTION
122;160920054;TRAFFIC STOP;2016-04-01;2016-04-01 00:25:00;ADV;1000 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
123;160920055;TRAFFIC STOP;2016-04-01;2016-04-01 00:25:00;CIT;20Th St/Folsom St;San Francisco;CA;1;INTERSECTION
124;160920056;TRAFFIC STOP;2016-04-01;2016-04-01 00:26:00;CIT;Junipero Serra Bl/Holloway Av;San Francisco;CA;1;INTERSECTION
125;160920058;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:26:00;ND;300 Block Of Powell St;San Francisco;CA;1;PREMISE ADDRESS
126;160920060;TRAFFIC STOP;2016-04-01;2016-04-01 00:26:00;ADV;Rio Verde St/Geneva Av;Daly City;CA;1;INTERSECTION
127;160920061;NOISE NUISANCE;2016-04-01;2016-04-01 00:26:00;HAN;1100 Block Of Pine St;San Francisco;CA;1;PREMISE ADDRESS
128;160920064;THREATS / HARASSMENT;2016-04-01;2016-04-01 00:26:00;ND;200 Block Of Eddy St;San Francisco;CA;1;PREMISE ADDRESS
129;160920065;BOOMBOX;2016-04-01;2016-04-01 00:28:00;ADV;Mission St/16Th St;San Francisco;CA;1;INTERSECTION
130;160920066;TRAFFIC STOP;2016-04-01;2016-04-01 00:29:00;ADM;Sagamore St/Capitol Av;San Francisco;CA;1;INTERSECTION
131;160920067;TRAF VIOLATION TOW;2016-04-01;2016-04-01 00:27:00;HAN;1000 Block Of Harrison St;San Francisco;CA;1;PREMISE ADDRESS
132;160920068;BURGLARY;2016-04-01;2016-04-01 00:29:00;REP;800 Block Of Van Ness Av;San Francisco;CA;1;PREMISE ADDRESS
133;160920069;DW;2016-04-01;2016-04-01 00:29:00;HAN;100 Block Of Mars St;San Francisco;CA;1;PREMISE ADDRESS
134;160920070;NOISE NUISANCE;2016-04-01;2016-04-01 00:30:00;GOA;4100 Block Of 23Rd St;San Francisco;CA;1;PREMISE ADDRESS
135;160920071;BAR CHECK;2016-04-01;2016-04-01 00:29:00;NOM;4000 Block Of Geary Bl;San Francisco;CA;1;PREMISE ADDRESS
136;160920072;TRAFFIC STOP;2016-04-01;2016-04-01 00:32:00;CIT;Van Ness Av/Clay St;San Francisco;CA;1;INTERSECTION
137;160920073;SUICIDE ATTEMPT;2016-04-01;2016-04-01 00:29:00;REP;1900 Block Of 10Th Av;San Francisco;CA;1;PREMISE ADDRESS
138;160920074;SUSP;2016-04-01;2016-04-01 00:29:00;HAN;200 Block Of Turk St;San Francisco;CA;1;PREMISE ADDRESS
139;160920075;THREATS / HARASSMENT;2016-04-01;2016-04-01 00:30:00;CAN;0 Block Of Mcallister St;San Francisco;CA;1;PREMISE ADDRESS
140;160920077;BURGLARY;2016-04-01;2016-04-01 00:33:00;NOM;2200 Block Of Francisco St;San Francisco;CA;1;PREMISE ADDRESS
141;160920078;PASSING CALL;2016-04-01;2016-04-01 00:35:00;HAN;Twin Peaks;Not Recorded;CA;1;GEO-OVERRIDE
142;160920079;TRAFFIC STOP;2016-04-01;2016-04-01 00:36:00;CIT;Shotwell St/24Th St;San Francisco;CA;1;INTERSECTION
143;160920080;CROSSWALK;2016-04-01;2016-04-01 00:34:00;ADV;0 Block Of Mccarthy Av;San Francisco;CA;1;PREMISE ADDRESS
144;160920082;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:36:00;ADV;Larkin St/Ofarrell St;San Francisco;CA;1;INTERSECTION
145;160920083;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:37:00;UTL;900 Block Of Bayshore Bl;San Francisco;CA;1;PREMISE ADDRESS
146;160920084;NOISE NUISANCE;2016-04-01;2016-04-01 00:38:00;GOA;Hyde St/Turk St;San Francisco;CA;1;INTERSECTION
147;160920085;CASING/917;2016-04-01;2016-04-01 00:39:00;GOA;Salinas Av/Bayshore Bl;San Francisco;CA;1;INTERSECTION
148;160920086;TRAFFIC STOP;2016-04-01;2016-04-01 00:41:00;ADM;North Point St/Jones St;San Francisco;CA;1;INTERSECTION
149;160920088;NOISE NUISANCE;2016-04-01;2016-04-01 00:45:00;NOT RECORDED;200 Block Of Hyde St 614;San Francisco;CA;1;COMMON LOCATION
150;160920089;HOMELESS COMPLAINT;2016-04-01;2016-04-01 00:46:00;NOT RECORDED;16Th St/Pond St;San Francisco;CA;1;INTERSECTION
151;160920090;601;2016-04-01;2016-04-01 00:43:00;HAN;1100 Block Of Le Conte Av;San Francisco;CA;1;PREMISE ADDRESS
152;160920091;FIGHT NO WEAPON;2016-04-01;2016-04-01 00:44:00;ND;1000 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
153;160920092;PASSING CALL;2016-04-01;2016-04-01 00:46:00;HAN;Duboce Triangle;Not Recorded;CA;1;GEO-OVERRIDE
154;160920093;WIRELESS-DROP;2016-04-01;2016-04-01 00:45:00;ADV;700 Block Of Beach St;San Francisco;CA;1;PREMISE ADDRESS
155;160920094;TRAFFIC STOP;2016-04-01;2016-04-01 00:48:00;CIT;Post St/Mason St;San Francisco;CA;1;INTERSECTION
156;160920095;PASSING CALL;2016-04-01;2016-04-01 00:49:00;HAN;100 Block Of Scott St;San Francisco;CA;1;COMMON LOCATION
157;160920096;UC HASTINGS/405;2016-04-01;2016-04-01 00:47:00;HAN;200 Block Of Mcallister St;San Francisco;CA;1;PREMISE ADDRESS
158;160920097;PASSING CALL;2016-04-01;2016-04-01 00:49:00;NOT RECORDED;2300 Block Of Polk St;San Francisco;CA;1;PREMISE ADDRESS
159;160920103;TRAF VIOLATION TOW;2016-04-01;2016-04-01 00:53:00;HAN;700 Block Of 45Th Av;San Francisco;CA;1;PREMISE ADDRESS
160;160920104;SUSPICIOUS VEHICLE;2016-04-01;2016-04-01 00:54:00;GOA;48Th Av/Anza St;San Francisco;CA;1;INTERSECTION
161;160920105;TRAFFIC STOP;2016-04-01;2016-04-01 00:56:00;CIT;Columbus Av/Grant Av;San Francisco;CA;1;INTERSECTION
162;160920106;NOISE NUISANCE;2016-04-01;2016-04-01 00:59:00;GOA;1700 Block Of Haight St;San Francisco;CA;1;PREMISE ADDRESS
163;160920107;BOMB THREAT;2016-04-01;2016-04-01 00:57:00;HAN;2500 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
164;160920110;SUSPICIOUS VEHICLE;2016-04-01;2016-04-01 01:04:00;ADV;Lincoln Wy/45Th Av;San Francisco;CA;1;INTERSECTION
165;160920113;HOMELESS COMPLAINT;2016-04-01;2016-04-01 01:04:00;ADV;15Th St/Utah St;San Francisco;CA;1;INTERSECTION
166;160920114;ENCAMPMENT;2016-04-01;2016-04-01 01:05:00;HAN;16Th St/Folsom St;San Francisco;CA;1;INTERSECTION
167;160920116;HOMELESS COMPLAINT;2016-04-01;2016-04-01 01:06:00;ADV;600 Block Of Berry St;San Francisco;CA;1;PREMISE ADDRESS
168;160920117;HOMELESS COMPLAINT;2016-04-01;2016-04-01 01:07:00;ADV;1000 Block Of Dolores St;San Francisco;CA;1;PREMISE ADDRESS
169;160920118;MENTALLY DISTURBED;2016-04-01;2016-04-01 01:06:00;NOM;200 Block Of Font Bl;San Francisco;CA;1;PREMISE ADDRESS
170;160920120;NOISE NUISANCE;2016-04-01;2016-04-01 01:06:00;CAN;500 Block Of 33Rd Av;San Francisco;CA;1;PREMISE ADDRESS
171;160920121;SILENT ALARM;2016-04-01;2016-04-01 01:09:00;PAS;600 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
172;160920122;SUSPICIOUS PERSON;2016-04-01;2016-04-01 01:11:00;ADV;Sacramento St/Van Ness Av;San Francisco;CA;1;INTERSECTION
173;160920124;TRAF VIOLATION CITE;2016-04-01;2016-04-01 01:11:00;CIT;500 Block Of 36Th Av;San Francisco;CA;1;PREMISE ADDRESS
174;160920125;PERSON BREAKING IN;2016-04-01;2016-04-01 01:12:00;NOT RECORDED;200 Block Of Font Bl;San Francisco;CA;1;PREMISE ADDRESS
175;160920127;SUSPICIOUS PERSON;2016-04-01;2016-04-01 01:15:00;ADV;Leavenworth St/Golden Gate Av;San Francisco;CA;1;INTERSECTION
176;160920128;TRESPASSER;2016-04-01;2016-04-01 01:10:00;UTL;1200 Block Of Michigan St;San Francisco;CA;1;PREMISE ADDRESS
177;160920132;PASSING CALL;2016-04-01;2016-04-01 01:19:00;HAN;15 Marina;Not Recorded;CA;1;GEO-OVERRIDE
178;160920133;SUSPICIOUS PERSON;2016-04-01;2016-04-01 01:17:00;UTL;1000 Block Of Golden Gate Av;San Francisco;CA;1;PREMISE ADDRESS
179;160920135;TRAFFIC STOP;2016-04-01;2016-04-01 01:20:00;ARR;Clement St/31St Av;San Francisco;CA;1;INTERSECTION
180;160920136;PETTY THEFT;2016-04-01;2016-04-01 01:19:00;ND;Grant Av/Union St;San Francisco;CA;1;INTERSECTION
181;160920141;TRESPASSER;2016-04-01;2016-04-01 01:22:00;HAN;200 Block Of Hyde St;San Francisco;CA;1;PREMISE ADDRESS
182;160920144;PASSING CALL;2016-04-01;2016-04-01 01:26:00;HAN;1200 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
183;160920148;SUSPICIOUS PERSON;2016-04-01;2016-04-01 01:30:00;ADV;Folsom St/Dore St;San Francisco;CA;1;INTERSECTION
184;160920152;COMPLAINT UNKN;2016-04-01;2016-04-01 01:25:00;GOA;0 Block Of South Park;San Francisco;CA;1;PREMISE ADDRESS
185;160920153;REPORT;2016-04-01;2016-04-01 01:32:00;REP;200 Block Of Garces Dr;San Francisco;CA;1;PREMISE ADDRESS
186;160920155;SUSPICIOUS PERSON;2016-04-01;2016-04-01 01:38:00;HAN;1400 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
